sku,mpid,veeqo_qty,last_sent_qty,update_needed,status,message,last_run_time
VMCATBY01,189018,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCC19GB100,183661,0,0,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCCI454,177323,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCHVS50,183675,508,508,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCP5ZB1K,176748,41,41,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCP5ZG1K,176747,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCP5ZP1K,176749,71,71,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCPEAPN10,177268,1491,1491,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCPEAPN100,177269,24,24,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCRM400X20B,177315,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMCRM50X20B,177314,0,0,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCS50X12CC,177299,23,23,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCST1003X10,183657,642,642,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMCST1006X10,183658,407,407,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMDMIRG45X100,183593,47,47,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMDMIRP45X100,183594,38,38,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMDMIRPP45X100,183597,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMDMIRSB45X100,183587,127,127,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMDMIRSG45X100,183591,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMDMIRSP45X100,183588,175,175,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMDMIRSPP45X100,183592,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMDMIRSW45X100,183589,97,97,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMDMIRSY45X100,183590,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMDMIRW45X100,183595,33,33,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMDMIRY45X100,183596,74,74,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMEC25GB100,183665,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMELLSCMSKBK50,176623,2311,2311,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMELMSCMSKBK50,176622,915,915,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMFBDSP01,177302,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMFELSMSKB50SL3,176627,873,873,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMFTLB100,183667,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMFTMY100,183668,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMFTSG100,183669,28,28,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGGA01PC,189014,273,273,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGGB01PC,176768,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGGB0201B,189016,134,134,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGGB0201W,189019,74,74,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGLBLN100,176574,989,989,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBLN100X10,176579,999,999,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGLBMN100,176573,2496,2496,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBMN100X10,176578,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VMGLBSN100,176571,978,978,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBSN100X10,176576,996,996,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGLBXLN100,176575,973,973,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBXLN100X10,176580,998,998,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBKLN100,183605,189,189,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBKMN100,183606,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBKSN100,183607,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBKXLN100,183608,195,195,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGLBKXSN100,183609,196,196,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBLN100,176574,989,989,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBLN100X10,176579,999,999,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGLBLN10X200,177317,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VMGLBLN200,177316,99,99,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBMN100,176573,2496,2496,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBMN100X10,176578,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VMGLBSN100,176571,978,978,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBSN100X10,176576,996,996,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGLBXLN100,176575,973,973,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBXLN100X10,176580,998,998,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBXLN10X200,177319,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VMGLBXLN200,177318,,,no,not_found_in_veeqo,SKU not found in Veeqo for warehouse GP-WH,2026-04-09 17:06:40 UTC
VMGLBXSN100,176572,936,936,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLBXSN100X10,176577,99,99,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPLN100,183614,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPMN100,183615,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPR3LN100,183628,138,138,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPR3MN100,183629,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPR3SN100,183630,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPR3XLN100,183631,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPR3XSN100,183632,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPSN100,183616,228,228,yes,success,Updated successfully in Net32,2026-04-09 17:06:40 UTC
VMGLPXLN100,183617,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLPXSN100,183613,221,221,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGLSAP12,176769,33,33,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
VMGP04B3060,189020,0,0,no,unchanged,"Quantity unchanged, skipped",2026-04-09 17:06:40 UTC
